"","feature1","feature2","feature3","feature4"
"250",1,-3,7,3
"251",1,-3,7,3
"252",1,-3,7,3
"253",6,6,4,0
"254",3,-1,7,3
"255",0,0,2,-2
"256",2,-2,1,-3
"257",5,2,7,3
"258",2,-2,2,-2
"259",3,-1,2,-2
"260",1,-3,3,-1
"261",0,0,4,0
"262",1,-3,7,3
"263",3,-1,2,-2
"264",5,2,3,-1
"265",2,-2,4,0
"266",6,6,7,3
"267",2,-2,2,-2
"268",5,2,1,-3
"269",1,-3,3,-1
"270",3,-1,2,-2
"271",1,-3,3,-1
"272",3,-1,2,-2
"273",0,0,5,1
"274",2,-2,4,0
"275",2,-2,1,-3
"276",3,-1,2,-2
"277",5,2,4,0
"278",4,1,1,-3
"279",5,2,1,-3
"280",0,0,2,-2
"281",0,0,7,3
"282",5,2,7,3
"283",5,2,2,-2
"284",5,2,3,-1
"285",3,-1,2,-2
"286",2,-2,4,0
"287",3,-1,4,0
"288",2,-2,6,2
"289",0,0,3,-1
"290",3,-1,7,3
"291",3,-1,6,2
"292",3,-1,7,3
"293",0,0,6,2
"294",3,-1,7,3
"295",3,-1,4,0
"296",1,-3,4,0
"297",5,2,1,-3
"298",1,-3,1,-3
"299",3,-1,7,3
"300",5,2,4,0
"301",0,0,4,0
"302",5,2,1,-3
"303",2,-2,3,-1
"304",4,1,1,-3
"305",3,-1,3,-1
"306",2,-2,1,-3
"307",0,0,4,0
"308",6,6,2,-2
"309",0,0,6,2
"310",5,2,4,0
"311",3,-1,5,1
"312",2,-2,1,-3
"313",0,0,4,0
"314",3,-1,2,-2
"315",5,2,7,3
"316",4,1,5,1
"317",4,1,2,-2
"318",2,-2,2,-2
"319",5,2,3,-1
"320",5,2,4,0
"321",5,2,7,3
"322",3,-1,1,-3
"323",5,2,7,3
"324",1,-3,5,1
"325",0,0,3,-1
"326",1,-3,5,1
"327",4,1,3,-1
"328",3,-1,1,-3
"329",1,-3,4,0
"330",1,-3,2,-2
"331",2,-2,7,3
"332",0,0,4,0
"333",3,-1,7,3
"334",2,-2,1,-3
"335",0,0,1,-3
"336",4,1,5,1
"337",1,-3,1,-3
"338",3,-1,3,-1
"339",2,-2,7,3
"340",5,2,1,-3
"341",0,0,4,0
"342",1,-3,4,0
"343",6,6,2,-2
"344",3,-1,4,0
"345",3,-1,7,3
"346",0,0,2,-2
"347",1,-3,2,-2
"348",3,-1,7,3
"349",4,1,2,-2
"350",2,-2,2,-2
"351",0,0,2,-2
"352",3,-1,3,-1
"353",4,1,2,-2
"354",1,-3,3,-1
"355",3,-1,7,3
"356",0,0,4,0
"357",3,-1,1,-3
"358",1,-3,3,-1
"359",3,-1,4,0
"360",3,-1,7,3
"361",3,-1,2,-2
"362",0,0,6,2
"363",4,1,3,-1
"364",0,0,3,-1
"365",2,-2,4,0
"366",2,-2,4,0
"367",2,-2,2,-2
"368",1,-3,5,1
"369",3,-1,3,-1
"370",0,0,4,0
"371",1,-3,7,3
"372",0,0,2,-2
"373",0,0,6,2
"374",5,2,4,0
"375",5,2,3,-1
"376",4,1,3,-1
"377",1,-3,4,0
"378",5,2,6,2
"379",5,2,3,-1
"380",0,0,7,3
"381",5,2,1,-3
"382",5,2,5,1
"383",1,-3,4,0
"384",5,2,3,-1
"385",1,-3,3,-1
"386",1,-3,1,-3
"387",3,-1,5,1
"388",1,-3,2,-2
"389",5,2,3,-1
"390",0,0,2,-2
"391",1,-3,4,0
"392",3,-1,2,-2
"393",0,0,3,-1
"394",0,0,2,-2
"395",0,0,2,-2
"396",4,1,2,-2
"397",3,-1,1,-3
"398",0,0,2,-2
"399",6,6,6,2
"400",3,-1,1,-3
"401",3,-1,3,-1
"402",1,-3,4,0
"403",0,0,6,2
"404",2,-2,1,-3
"405",0,0,1,-3
"406",3,-1,3,-1
"407",1,-3,7,3
"408",3,-1,4,0
"409",1,-3,2,-2
"410",3,-1,4,0
"411",1,-3,1,-3
"412",3,-1,1,-3
"413",5,2,4,0
"414",1,-3,5,1
"415",3,-1,6,2
"416",0,0,4,0
"417",2,-2,6,2
"418",5,2,1,-3
"419",3,-1,1,-3
"420",4,1,3,-1
"421",0,0,2,-2
"422",1,-3,4,0
"423",1,-3,4,0
"424",1,-3,2,-2
"425",1,-3,7,3
"426",5,2,4,0
"427",3,-1,4,0
"428",0,0,2,-2
"429",5,2,1,-3
"430",5,2,2,-2
"431",0,0,1,-3
"432",3,-1,2,-2
"433",4,1,7,3
"434",5,2,7,3
"435",2,-2,7,3
"436",1,-3,4,0
"437",5,2,4,0
"438",3,-1,2,-2
"439",5,2,7,3
"440",5,2,4,0
"441",1,-3,2,-2
"442",1,-3,7,3
"443",0,0,5,1
"444",5,2,3,-1
"445",1,-3,6,2
"446",1,-3,2,-2
"447",6,6,5,1
"448",4,1,2,-2
"449",5,2,2,-2
"450",1,-3,4,0
"451",1,-3,4,0
"452",2,-2,1,-3
"453",6,6,3,-1
"454",6,6,2,-2
"455",0,0,2,-2
"456",1,-3,4,0
"457",6,6,2,-2
"458",2,-2,3,-1
"459",0,0,1,-3
"460",5,2,3,-1
"461",2,-2,4,0
"462",0,0,7,3
"463",6,6,4,0
"464",0,0,4,0
"465",3,-1,4,0
"466",2,-2,2,-2
"467",3,-1,2,-2
"468",3,-1,2,-2
"469",3,-1,1,-3
"470",5,2,2,-2
"471",0,0,2,-2
"472",0,0,7,3
"473",3,-1,7,3
"474",3,-1,5,1
"475",5,2,4,0
"476",3,-1,6,2
"477",0,0,3,-1
"478",1,-3,3,-1
"479",0,0,6,2
"480",1,-3,1,-3
"481",2,-2,5,1
"482",1,-3,7,3
"483",1,-3,4,0
"484",1,-3,4,0
"485",0,0,6,2
"486",5,2,4,0
"487",1,-3,4,0
"488",1,-3,7,3
"489",5,2,2,-2
"490",5,2,4,0
"491",5,2,7,3
"492",3,-1,2,-2
"493",3,-1,2,-2
"494",5,2,7,3
"495",2,-2,3,-1
"496",0,0,2,-2
"497",5,2,2,-2
"498",6,6,4,0
"499",3,-1,1,-3
"500",2,-2,1,-3
"501",1,-3,7,3
"502",3,-1,6,2
"503",3,-1,3,-1
"504",1,-3,5,1
"505",6,6,2,-2
"506",3,-1,5,1
"507",0,0,3,-1
"508",3,-1,2,-2
"509",1,-3,6,2
"510",3,-1,4,0
"511",1,-3,2,-2
"512",6,6,4,0
"513",5,2,3,-1
"514",3,-1,4,0
"515",2,-2,7,3
"516",4,1,4,0
"517",1,-3,4,0
"518",1,-3,3,-1
"519",5,2,3,-1
"520",1,-3,5,1
"521",1,-3,5,1
"522",5,2,2,-2
"523",1,-3,4,0
"524",5,2,2,-2
"525",5,2,4,0
"526",2,-2,2,-2
"527",0,0,3,-1
"528",0,0,5,1
"529",2,-2,4,0
"530",1,-3,2,-2
"531",1,-3,5,1
"532",3,-1,2,-2
"533",1,-3,5,1
"534",0,0,1,-3
"535",0,0,3,-1
"536",5,2,4,0
"537",3,-1,7,3
"538",2,-2,1,-3
"539",3,-1,5,1
"540",2,-2,5,1
"541",0,0,7,3
"542",1,-3,4,0
"543",1,-3,5,1
"544",1,-3,3,-1
"545",0,0,7,3
"546",5,2,7,3
"547",2,-2,4,0
"548",3,-1,7,3
"549",0,0,7,3
"550",5,2,3,-1
"551",2,-2,2,-2
"552",3,-1,1,-3
"553",5,2,3,-1
"554",6,6,7,3
"555",2,-2,7,3
"556",2,-2,2,-2
"557",5,2,7,3
"558",5,2,5,1
"559",6,6,2,-2
"560",5,2,2,-2
"561",5,2,7,3
"562",2,-2,3,-1
"563",1,-3,7,3
"564",5,2,2,-2
"565",4,1,3,-1
"566",3,-1,4,0
"567",6,6,6,2
"568",3,-1,4,0
"569",1,-3,7,3
"570",0,0,3,-1
"571",1,-3,2,-2
"572",2,-2,7,3
"573",3,-1,7,3
"574",5,2,1,-3
"575",1,-3,2,-2
"576",5,2,3,-1
"577",0,0,3,-1
"578",5,2,2,-2
"579",4,1,3,-1
"580",6,6,4,0
"581",5,2,7,3
"582",4,1,4,0
"583",5,2,4,0
"584",1,-3,4,0
"585",3,-1,3,-1
"586",5,2,1,-3
"587",4,1,2,-2
"588",3,-1,2,-2
"589",2,-2,2,-2
"590",2,-2,1,-3
"591",4,1,2,-2
"592",3,-1,1,-3
"593",1,-3,7,3
"594",1,-3,1,-3
"595",1,-3,2,-2
"596",5,2,2,-2
"597",3,-1,3,-1
"598",1,-3,2,-2
"599",5,2,2,-2
"600",3,-1,4,0
"601",5,2,7,3
"602",6,6,7,3
"603",0,0,1,-3
"604",0,0,3,-1
"605",1,-3,2,-2
"606",1,-3,6,2
"607",3,-1,2,-2
"608",3,-1,7,3
"609",5,2,4,0
"610",5,2,2,-2
"611",3,-1,2,-2
"612",2,-2,6,2
"613",1,-3,3,-1
"614",5,2,1,-3
"615",4,1,6,2
"616",0,0,3,-1
"617",1,-3,4,0
"618",3,-1,2,-2
"619",0,0,2,-2
"620",1,-3,2,-2
"621",4,1,1,-3
"622",1,-3,3,-1
"623",0,0,7,3
"624",3,-1,6,2
"625",1,-3,4,0
"626",1,-3,3,-1
"627",3,-1,2,-2
"628",1,-3,5,1
"629",5,2,4,0
"630",1,-3,3,-1
"631",3,-1,2,-2
"632",2,-2,1,-3
"633",1,-3,6,2
"634",1,-3,3,-1
"635",6,6,4,0
"636",3,-1,1,-3
"637",3,-1,7,3
"638",1,-3,2,-2
"639",5,2,2,-2
"640",1,-3,2,-2
"641",0,0,2,-2
"642",1,-3,1,-3
"643",3,-1,4,0
"644",1,-3,2,-2
"645",0,0,3,-1
"646",1,-3,4,0
"647",5,2,2,-2
"648",0,0,6,2
"649",1,-3,1,-3
"650",5,2,7,3
"651",1,-3,7,3
"652",0,0,2,-2
"653",2,-2,6,2
"654",5,2,5,1
"655",2,-2,1,-3
"656",1,-3,4,0
"657",2,-2,3,-1
"658",3,-1,4,0
"659",6,6,2,-2
"660",5,2,7,3
"661",5,2,2,-2
"662",2,-2,7,3
"663",1,-3,5,1
"664",5,2,3,-1
"665",0,0,4,0
"666",0,0,1,-3
"667",6,6,2,-2
"668",1,-3,2,-2
"669",6,6,6,2
"670",5,2,4,0
"671",6,6,6,2
"672",0,0,5,1
"673",1,-3,4,0
"674",0,0,2,-2
"675",3,-1,5,1
"676",2,-2,7,3
"677",1,-3,3,-1
"678",5,2,2,-2
"679",0,0,3,-1
"680",3,-1,7,3
"681",4,1,3,-1
"682",4,1,6,2
"683",5,2,1,-3
"684",1,-3,4,0
"685",1,-3,4,0
"686",1,-3,4,0
"687",0,0,7,3
"688",4,1,3,-1
"689",1,-3,4,0
"690",2,-2,3,-1
"691",1,-3,2,-2
"692",1,-3,3,-1
"693",1,-3,2,-2
"694",5,2,7,3
"695",6,6,7,3
"696",2,-2,3,-1
"697",0,0,7,3
"698",3,-1,6,2
"699",0,0,4,0
"700",2,-2,7,3
"701",0,0,7,3
"702",2,-2,1,-3
"703",1,-3,1,-3
"704",1,-3,7,3
"705",5,2,3,-1
"706",4,1,1,-3
"707",2,-2,4,0
"708",0,0,1,-3
"709",2,-2,2,-2
"710",2,-2,1,-3
"711",1,-3,7,3
"712",5,2,2,-2
"713",1,-3,5,1
"714",2,-2,1,-3
"715",5,2,3,-1
"716",3,-1,2,-2
"717",1,-3,2,-2
"718",5,2,2,-2
"719",1,-3,4,0
"720",1,-3,3,-1
"721",5,2,1,-3
"722",1,-3,5,1
"723",3,-1,7,3
"724",6,6,1,-3
"725",1,-3,6,2
"726",3,-1,7,3
"727",3,-1,3,-1
"728",1,-3,5,1
"729",2,-2,2,-2
"730",1,-3,4,0
"731",2,-2,6,2
"732",3,-1,4,0
"733",3,-1,3,-1
"734",0,0,7,3
"735",1,-3,3,-1
"736",2,-2,3,-1
"737",0,0,7,3
"738",2,-2,7,3
"739",2,-2,4,0
"740",3,-1,4,0
"741",5,2,3,-1
"742",1,-3,1,-3
"743",6,6,2,-2
"744",4,1,2,-2
"745",6,6,5,1
"746",0,0,7,3
"747",1,-3,4,0
"748",1,-3,4,0
"749",3,-1,7,3
"750",2,-2,4,0
"751",5,2,1,-3
"752",2,-2,4,0
"753",1,-3,7,3
"754",3,-1,2,-2
"755",2,-2,2,-2
"756",3,-1,3,-1
"757",2,-2,1,-3
"758",2,-2,4,0
"759",3,-1,3,-1
"760",2,-2,4,0
"761",1,-3,4,0
"762",2,-2,1,-3
"763",2,-2,2,-2
"764",5,2,2,-2
"765",3,-1,3,-1
"766",3,-1,3,-1
"767",0,0,7,3
"768",3,-1,6,2
"769",6,6,4,0
"770",0,0,6,2
"771",0,0,7,3
"772",1,-3,4,0
"773",2,-2,1,-3
"774",0,0,7,3
"775",0,0,7,3
"776",4,1,4,0
"777",3,-1,2,-2
"778",5,2,1,-3
"779",5,2,5,1
"780",0,0,3,-1
"781",3,-1,2,-2
"782",2,-2,2,-2
"783",0,0,7,3
"784",4,1,5,1
"785",6,6,3,-1
"786",4,1,2,-2
"787",3,-1,7,3
"788",0,0,6,2
"789",2,-2,2,-2
"790",3,-1,4,0
"791",2,-2,3,-1
"792",3,-1,5,1
"793",3,-1,4,0
"794",2,-2,4,0
"795",5,2,3,-1
"796",1,-3,7,3
"797",0,0,1,-3
"798",2,-2,2,-2
"799",3,-1,1,-3
"800",3,-1,7,3
"801",0,0,5,1
"802",3,-1,1,-3
"803",1,-3,1,-3
"804",1,-3,2,-2
"805",5,2,7,3
"806",0,0,1,-3
"807",5,2,7,3
"808",1,-3,1,-3
"809",3,-1,3,-1
"810",0,0,4,0
"811",5,2,1,-3
"812",0,0,2,-2
"813",3,-1,7,3
"814",5,2,6,2
"815",2,-2,4,0
"816",5,2,2,-2
"817",1,-3,7,3
"818",4,1,3,-1
"819",2,-2,1,-3
"820",2,-2,3,-1
"821",6,6,3,-1
"822",1,-3,7,3
"823",3,-1,1,-3
"824",5,2,3,-1
"825",3,-1,4,0
"826",0,0,7,3
"827",2,-2,1,-3
"828",0,0,1,-3
"829",0,0,1,-3
"830",5,2,2,-2
"831",3,-1,2,-2
"832",1,-3,1,-3
"833",2,-2,2,-2
"834",2,-2,2,-2
"835",1,-3,5,1
"836",3,-1,7,3
"837",1,-3,4,0
"838",1,-3,4,0
"839",3,-1,7,3
"840",6,6,5,1
"841",5,2,1,-3
"842",3,-1,7,3
"843",2,-2,7,3
"844",5,2,1,-3
"845",1,-3,2,-2
"846",3,-1,4,0
"847",3,-1,7,3
"848",2,-2,7,3
"849",2,-2,7,3
"850",4,1,1,-3
"851",5,2,1,-3
"852",0,0,7,3
"853",3,-1,4,0
"854",5,2,4,0
"855",3,-1,3,-1
"856",5,2,7,3
"857",5,2,4,0
"858",3,-1,1,-3
"859",6,6,2,-2
"860",2,-2,4,0
"861",0,0,6,2
"862",2,-2,7,3
"863",5,2,3,-1
"864",1,-3,2,-2
"865",2,-2,6,2
"866",1,-3,4,0
"867",3,-1,6,2
"868",4,1,2,-2
"869",0,0,3,-1
"870",2,-2,4,0
"871",4,1,2,-2
"872",3,-1,4,0
"873",6,6,1,-3
"874",3,-1,6,2
"875",3,-1,6,2
"876",0,0,1,-3
"877",0,0,5,1
"878",4,1,2,-2
"879",4,1,5,1
"880",2,-2,4,0
"881",5,2,7,3
"882",4,1,1,-3
"883",0,0,7,3
"884",1,-3,4,0
"885",6,6,4,0
"886",3,-1,7,3
"887",6,6,3,-1
"888",5,2,3,-1
"889",1,-3,1,-3
"890",4,1,1,-3
"891",2,-2,2,-2
"892",1,-3,4,0
"893",6,6,7,3
"894",1,-3,2,-2
"895",4,1,2,-2
"896",0,0,7,3
"897",1,-3,4,0
"898",3,-1,1,-3
"899",2,-2,4,0
"900",1,-3,4,0
"901",3,-1,1,-3
"902",2,-2,5,1
"903",3,-1,2,-2
"904",3,-1,3,-1
"905",1,-3,5,1
"906",2,-2,1,-3
"907",3,-1,1,-3
"908",0,0,7,3
"909",2,-2,3,-1
"910",0,0,2,-2
"911",1,-3,4,0
"912",1,-3,1,-3
"913",5,2,3,-1
"914",2,-2,3,-1
"915",5,2,2,-2
"916",3,-1,3,-1
"917",2,-2,1,-3
"918",0,0,2,-2
"919",2,-2,3,-1
"920",3,-1,3,-1
"921",0,0,6,2
"922",3,-1,4,0
"923",3,-1,7,3
"924",5,2,4,0
"925",3,-1,1,-3
"926",5,2,4,0
"927",3,-1,7,3
"928",2,-2,4,0
"929",5,2,1,-3
"930",4,1,2,-2
"931",2,-2,3,-1
"932",0,0,7,3
"933",0,0,1,-3
"934",2,-2,7,3
"935",2,-2,6,2
"936",1,-3,3,-1
"937",1,-3,2,-2
"938",5,2,1,-3
"939",5,2,4,0
"940",2,-2,4,0
"941",3,-1,4,0
"942",2,-2,3,-1
"943",2,-2,4,0
"944",3,-1,6,2
"945",4,1,7,3
"946",1,-3,2,-2
"947",6,6,4,0
"948",0,0,2,-2
"949",2,-2,7,3
"950",1,-3,4,0
"951",0,0,3,-1
"952",0,0,1,-3
"953",1,-3,1,-3
"954",0,0,3,-1
"955",3,-1,3,-1
"956",6,6,2,-2
"957",0,0,1,-3
"958",1,-3,7,3
"959",1,-3,7,3
"960",3,-1,5,1
"961",2,-2,3,-1
"962",5,2,1,-3
"963",1,-3,2,-2
"964",1,-3,4,0
"965",6,6,2,-2
"966",4,1,1,-3
"967",1,-3,1,-3
"968",5,2,6,2
"969",5,2,1,-3
"970",5,2,4,0
"971",3,-1,1,-3
"972",2,-2,3,-1
"973",1,-3,2,-2
"974",3,-1,7,3
"975",0,0,5,1
"976",5,2,7,3
"977",1,-3,2,-2
"978",6,6,7,3
"979",3,-1,3,-1
"980",0,0,5,1
"981",4,1,3,-1
"982",0,0,4,0
"983",0,0,2,-2
"984",2,-2,1,-3
"985",2,-2,3,-1
"986",2,-2,1,-3
"987",2,-2,3,-1
"988",3,-1,1,-3
"989",1,-3,2,-2
"990",2,-2,4,0
"991",2,-2,3,-1
"992",3,-1,3,-1
"993",5,2,1,-3
"994",3,-1,1,-3
"995",5,2,2,-2
"996",1,-3,7,3
"997",6,6,5,1
"998",6,6,6,2
"999",3,-1,7,3
"1000",0,0,2,-2
"1001",3,-1,4,0
"1002",4,1,4,0
"1003",3,-1,5,1
"1004",3,-1,2,-2
"1005",3,-1,4,0
"1006",4,1,2,-2
"1007",5,2,7,3
"1008",2,-2,1,-3
"1009",3,-1,2,-2
"1010",1,-3,3,-1
"1011",1,-3,7,3
"1012",2,-2,5,1
"1013",2,-2,7,3
"1014",3,-1,1,-3
"1015",2,-2,7,3
"1016",2,-2,4,0
"1017",5,2,7,3
"1018",5,2,2,-2
"1019",4,1,6,2
"1020",5,2,3,-1
"1021",3,-1,3,-1
"1022",2,-2,2,-2
"1023",5,2,6,2
"1024",3,-1,6,2
"1025",3,-1,4,0
"1026",1,-3,6,2
"1027",1,-3,4,0
"1028",2,-2,2,-2
"1029",1,-3,7,3
"1030",4,1,3,-1
"1031",4,1,7,3
"1032",2,-2,7,3
"1033",1,-3,2,-2
"1034",3,-1,6,2
"1035",2,-2,7,3
"1036",3,-1,1,-3
"1037",2,-2,1,-3
"1038",1,-3,7,3
"1039",5,2,3,-1
"1040",2,-2,4,0
"1041",1,-3,3,-1
"1042",1,-3,2,-2
"1043",2,-2,3,-1
"1044",2,-2,1,-3
"1045",3,-1,1,-3
"1046",1,-3,7,3
"1047",5,2,3,-1
"1048",6,6,3,-1
"1049",0,0,4,0
"1050",2,-2,1,-3
"1051",3,-1,1,-3
"1052",6,6,6,2
"1053",0,0,3,-1
"1054",2,-2,2,-2
"1055",3,-1,4,0
"1056",6,6,6,2
"1057",5,2,2,-2
"1058",0,0,2,-2
"1059",1,-3,4,0
"1060",2,-2,3,-1
"1061",5,2,7,3
"1062",1,-3,6,2
"1063",5,2,2,-2
"1064",4,1,2,-2
"1065",5,2,3,-1
"1066",2,-2,7,3
"1067",1,-3,4,0
"1068",5,2,1,-3
"1069",3,-1,7,3
"1070",4,1,1,-3
"1071",5,2,2,-2
"1072",6,6,4,0
"1073",1,-3,1,-3
"1074",0,0,2,-2
"1075",2,-2,1,-3
"1076",1,-3,7,3
"1077",0,0,4,0
"1078",5,2,2,-2
"1079",1,-3,1,-3
"1080",1,-3,4,0
"1081",1,-3,5,1
"1082",0,0,4,0
"1083",3,-1,1,-3
"1084",6,6,4,0
"1085",1,-3,7,3
"1086",5,2,4,0
"1087",0,0,5,1
"1088",1,-3,6,2
"1089",2,-2,7,3
"1090",0,0,6,2
"1091",3,-1,3,-1
"1092",3,-1,2,-2
"1093",4,1,7,3
"1094",0,0,2,-2
"1095",3,-1,5,1
"1096",5,2,3,-1
"1097",3,-1,7,3
"1098",5,2,7,3
"1099",3,-1,4,0
"1100",2,-2,7,3
"1101",1,-3,6,2
"1102",4,1,4,0
"1103",1,-3,5,1
"1104",5,2,7,3
"1105",1,-3,1,-3
"1106",0,0,6,2
"1107",1,-3,3,-1
"1108",0,0,2,-2
"1109",1,-3,3,-1
"1110",1,-3,7,3
"1111",1,-3,3,-1
"1112",3,-1,3,-1
"1113",1,-3,1,-3
"1114",3,-1,3,-1
"1115",3,-1,4,0
"1116",3,-1,7,3
"1117",4,1,2,-2
"1118",0,0,7,3
"1119",0,0,2,-2
"1120",3,-1,6,2
"1121",1,-3,4,0
"1122",0,0,4,0
"1123",1,-3,4,0
"1124",1,-3,1,-3
"1125",1,-3,1,-3
"1126",3,-1,3,-1
"1127",4,1,7,3
"1128",1,-3,3,-1
"1129",2,-2,2,-2
"1130",5,2,4,0
"1131",1,-3,3,-1
"1132",5,2,1,-3
"1133",2,-2,1,-3
"1134",1,-3,1,-3
"1135",1,-3,1,-3
"1136",5,2,3,-1
"1137",3,-1,7,3
"1138",5,2,7,3
"1139",3,-1,6,2
"1140",3,-1,7,3
"1141",5,2,3,-1
"1142",1,-3,2,-2
"1143",2,-2,1,-3
