"","num_hrefs","num_imgs","data_channel_is_socmed","data_channel_is_tech","data_channel_is_world","kw_max_min","kw_avg_min","kw_avg_max","kw_min_avg","kw_max_avg","kw_avg_avg","self_reference_min_shares","self_reference_max_shares","self_reference_avg_sharess","weekday_is_saturday","LDA_00","LDA_02","LDA_03","global_subjectivity","rate_positive_words","popularity"
"11",9,1,0,0,1,613,218.2,212520,938.4,3594.06409036,2197.49476881,722,932,841.25,1,0.0400006522368,0.839996727747,0.0400001548527,0.367117346939,0.368421052632,"2"
"12",4,2,0,1,0,752,218.4,436180,1416.95,3511.01301576,2499.20047381,4000,4000,4000,0,0.0400426924437,0.0404308459859,0.439173161793,0.633333333333,1,"1"
"13",2,0,0,0,0,657,431.125,24100,1119,3625.46666667,2252.05839559,1800,1800,1800,0,0.0250422822807,0.326347693341,0.598532470825,0.475,1,"2"
"14",12,1,0,0,1,412,81.6,217083.333333,0,3395.06309842,1975.95202337,1300,1300,1300,0,0.033337191917,0.614670113315,0.0333356075542,0.44298245614,0.333333333333,"3"
"15",21,10,1,0,0,165,62.75,268325,3164.61,4077.4934334,3618.47384988,1900,1900,1900,1,0.798742910132,0.0501352943431,0.0506979779327,0.594597069597,0.549019607843,"3"
"16",12,1,0,0,0,1000,236.857142857,256812.5,0,4815.95131086,3025.61108695,0,0,0,0,0.205693503786,0.0251837958991,0.0252619271857,0.484854657285,0.691358024691,"3"
"17",2,1,0,0,1,909,380,234985.714286,1020.75,3574.24426024,2374.52035477,991,991,991,0,0.0285726660484,0.600100977701,0.0285732255268,0.379734848485,0.5,"2"
"18",3,1,0,0,1,595,129.571428571,230585.714286,2168.64577778,5130.13793103,3412.08623724,660,660,660,0,0.0285722101011,0.72564015312,0.0285717689522,0.441115702479,0.5,"2"
"19",8,0,1,0,0,1100,420.666666667,183166.666667,1233.33333333,12695.3529412,4371.4603398,1100,3700,2400,0,0.338765943332,0.252795431131,0.0337403531765,0.58618476431,0.947368421053,"3"
"20",17,1,0,0,0,915,299.75,422000,3113.01495513,3606.76470588,3358.71535983,2000,2500,2250,0,0.799999432966,0.0500001301883,0.05000011176,0.504767400741,0.857142857143,"3"
"21",3,0,0,0,1,15700,3935,285450,2179.12669246,15700,5931.92161197,1000,1000,1000,0,0.0500012396031,0.799994651076,0.0500008075332,0.394166666667,0.666666666667,"3"
"22",11,0,0,1,0,1400,278,154760,764,3511.30855019,2366.9734237,1200,1200,1200,0,0.0200067632799,0.0200041985436,0.0205165671806,0.501508136925,0.733333333333,"1"
"23",18,11,0,1,0,473,160.625,196550,2652.31897151,3899.87113402,3139.87080806,0,0,0,1,0.0250071614576,0.0250042811384,0.0250001803537,0.442439096851,0.7,"2"
"24",9,1,0,1,0,971,398.75,131162.5,1643.42222222,5145.247557,3096.3685866,0,0,0,0,0.0251734982318,0.259069684486,0.0250002385925,0.353615520282,0.727272727273,"2"
"25",8,1,0,0,0,2100,799.5,285333.333333,3142.28812962,4500,3610.36575218,0,0,0,0,0.8666658608,0.0333335057432,0.0333335126022,0.56282599235,0.745454545455,"2"
"26",12,22,0,0,0,610,366.857142857,136142.857143,2801.63736264,4764.7,3597.85907604,6200,95900,43200,0,0.368056849857,0.0286566573193,0.0288268450493,0.43713002745,0.682692307692,"2"
"27",4,1,0,1,0,205,97,250125,0,3276.25692637,2350.60035514,12400,12400,12400,0,0.0500153617435,0.0501757563157,0.546249345547,0.378533026114,1,"1"
"28",9,1,0,0,1,1600,383.857142857,174257.142857,933.5,3447.58583562,2073.43987449,0,0,0,0,0.0285718369341,0.885712400164,0.0285715704498,0.386685906686,0.666666666667,"1"
"29",0,0,0,0,0,1300,310.125,278887.5,2269.47126437,5837.59090909,3200.25000907,0,0,0,0,0.0250216637713,0.587580633013,0.0254795790266,0,0,"1"
"30",8,1,0,0,0,1500,570.8,340820,3088.88888889,3885.07462687,3424.61585888,2800,2800,2800,0,0.839999412154,0.0400001244716,0.0400001223538,0.54375450938,0.74025974026,"3"
"31",7,2,1,0,0,645,197.777777778,206140,0,4387.8341778,3123.97928318,1900,1900,1900,0,0.0210893973766,0.352002466502,0.203270413153,0.397222222222,0.642857142857,"2"
"32",9,0,0,0,0,349,94.625,235300,0,4245.63157895,2442.8090773,30200,30200,30200,0,0.0224884308282,0.25959257808,0.277786625364,0.566245791246,0.866666666667,"1"
"33",12,1,0,0,1,523,83.25,350725,1412.28350515,3678.37955074,2600.55487969,827,30700,6051.33333333,0,0.0252035781942,0.899072769072,0.0250002684273,0.24917323114,0.625,"1"
"34",4,1,0,1,0,813,282.4,178366.666667,0,3405.21428571,2387.64883889,35300,35300,35300,0,0.0341638216188,0.392419555971,0.0333442069325,0.383888888889,0.5,"2"
"35",8,1,0,0,0,566,219.118,328000,1430.46616541,3953.92963576,2879.98931349,2900,2900,2900,0,0.839958267568,0.0400244352917,0.0400144793772,0.493358585859,0.8125,"1"
"36",10,1,0,0,1,43,13.6666666667,350800,2185.15631907,3518.48394878,2721.19869013,12900,12900,12900,0,0.0666682032862,0.733324186321,0.0666666886591,0.47247311828,0.85,"2"
"37",8,1,0,1,0,872,247.75,366862.5,2245.33333333,3481.80085187,2845.33967502,976,48000,32325.3333333,0,0.0250381426148,0.149953879405,0.0250004556698,0.473484848485,0.9375,"2"
"38",4,51,0,0,0,4,0,636240,2957.63378804,5946.39264954,4267.02907112,795,10600,4123.33333333,0,0.0400020390265,0.0400862341304,0.838679415416,0.436941269048,0.609523809524,"2"
"39",2,9,0,0,0,714,254.318,385370,2396.72727273,7623.44339198,4637.90197585,1900,1900,1900,0,0.0200004844186,0.0200040315313,0.919283188335,0.515151515152,0.875,"3"
"40",14,0,0,0,1,742,173.6,271583.333333,0,3415.67928132,1995.00206233,1600,1600,1600,0,0.0347208811834,0.468729474611,0.245857328303,0.4046875,0.833333333333,"1"
"41",2,1,0,1,0,2900,483.375,148125,1971.02933333,7350,3270.27875488,0,0,0,0,0.0250309380322,0.150155029512,0.0250007220326,0.338636363636,0.666666666667,"2"
"42",16,6,0,1,0,2000,573.333333333,31880,0,4191.5,2774.45066141,1700,1700,1700,0,0.0201656588964,0.0200329190816,0.126599559237,0.500369903728,0.76,"1"
"43",8,1,0,0,1,395,294.571428571,131785.714286,2167.4172973,3371.42425458,2552.85624047,0,0,0,0,0.0285716699747,0.885712934214,0.0285714598537,0.333346237096,0.692307692308,"1"
"44",0,0,0,0,0,691,154.575555556,415555.555556,1146.5,6985.32640508,4366.88912857,0,0,0,0,0.0222263730567,0.022222381555,0.572978052729,0,0,"3"
"45",19,2,0,0,1,719,206.5,222393.714286,0,4021.36218375,1986.05552861,10800,10800,10800,0,0.0288376495019,0.661131516725,0.0286087946927,0.409139784946,0.730769230769,"1"
"46",5,1,0,0,1,593,374.2,38922.2222222,0,3859.94736842,1537.98410197,3000,3000,3000,1,0.0222790221001,0.578869603899,0.247321937338,0.400868055556,0.545454545455,"2"
"47",23,1,0,0,1,399,188.666666667,217316.666667,1026.1,3396.69180922,2118.38256805,704,704,704,0,0.0333337707751,0.866664296079,0.0333334400255,0.468229166667,0.621212121212,"1"
"48",15,1,1,0,0,10400,2326.2,116328.571429,0,10400,3383.08389702,11700,27800,19750,0,0.20417512729,0.709976922304,0.0286934645105,0.499320700397,0.763888888889,"1"
"49",0,15,0,0,1,945,275.25,216666.666667,0,6419.82608696,3367.66865389,0,0,0,0,0.132276146593,0.383225313271,0.44004563476,0,0,"2"
"50",26,12,0,0,0,0,0,0,0,0,0,555,14000,3904.625,0,0.0400805062393,0.0400276469927,0.839741883778,0.57962962963,0.613333333333,"3"
"51",15,5,0,0,0,661,141,223251.571429,0,3578.43032738,1858.21347417,661,1800,1153.66666667,1,0.0285755301505,0.0286318401914,0.19863767958,0.386033024353,0.616279069767,"2"
"52",2,30,0,0,0,712,283,250680,0,10699.1935484,4397.95236,1700,1700,1700,0,0.0200041503189,0.0200380018703,0.86828513636,0.458333333333,0.625,"3"
"53",34,1,0,0,0,2200,464.857142857,332142.857143,975.36,4237.18975332,2573.92976172,14600,14600,14600,0,0.884753413705,0.0285731519847,0.0285735269867,0.472484395038,0.850877192982,"2"
"54",4,1,0,0,0,980,320.166666667,363850,1723.33333333,3482.17669926,2655.29039114,3100,12800,6333.33333333,0,0.367268144729,0.36666203614,0.0333347551811,0.525980392157,0.454545454545,"2"
"55",11,10,0,1,0,687,234.375,285837.5,1217.02564103,3475.24862205,2588.58905905,827,2500,1603.85714286,1,0.0250004112981,0.0250004676229,0.0250001489181,0.494336745979,0.696428571429,"2"
"56",3,13,0,0,1,1200,209.166666667,315557.142857,0,5949.52083333,3705.47427926,1600,12900,7250,0,0.028575802405,0.310659623198,0.448774788235,0.39322169059,0.785714285714,"3"
"57",16,1,0,0,0,294,101,279725,1857.71428571,3281.27129742,2520.79460808,723,960,870.4,0,0.050004722704,0.323975267772,0.0510252348393,0.50808531746,0.421052631579,"1"
"58",23,2,0,0,1,1200,265.6,305660,1858.11111111,3484.25386844,2639.92826452,0,0,0,0,0.020604195417,0.394158153942,0.0201014966509,0.285634920635,0.416666666667,"2"
"59",3,2,0,0,1,832,240.555555556,202020.4,0,3396.69180922,1913.97162645,1200,1700,1500,0,0.0200016183933,0.620765766363,0.0200455591062,0.40380746792,0.64406779661,"1"
"60",5,2,0,0,1,687,275.444444444,179270,0,9866.5,2848.24286916,1400,1400,1400,0,0.0200031195187,0.616869509206,0.125311598453,0.381015151515,0.473684210526,"3"
"61",26,1,0,0,0,1400,532.6,269600,2275,4899.46799431,3792.72957265,2800,2800,2800,0,0.040000375139,0.0400017229051,0.839759621802,0.485648148148,0.375,"2"
"62",3,26,0,0,0,556,162.166666667,248150,1098.88888889,4007.228125,3183.43697474,264,2400,1073.33333333,0,0.0333343879539,0.0333339150584,0.846224089186,0.580852387732,0.839694656489,"2"
"63",6,2,0,0,1,42,20.5,316875,2259.36514862,3602.62455453,2706.03487571,4900,4900,4900,0,0.0500000331459,0.799998507982,0.0500000124985,0.295918367347,0.6,"2"
"64",2,21,0,0,1,693,221.4,176500,0,3490.16307076,1740.70981848,0,0,0,0,0.0333353588938,0.702903621342,0.0333344312514,0.341941738817,0.616666666667,"2"
"65",3,1,0,0,0,874,191.833333333,209828.571429,0,3607.05259939,2214.0786141,755,755,755,0,0.0285744139547,0.171581380577,0.66865873313,0.3,0.666666666667,"3"
"66",6,16,0,1,0,1200,460.25,124622.222222,0,3452.5,2418.78957921,1200,1500,1350,0,0.0222556429643,0.022224407738,0.0222244052897,0.390277777778,0.888888888889,"1"
"67",15,2,0,0,0,1100,290.166666667,317816.666667,2634.8625,5042.01,3667.73696804,2100,2100,2100,0,0.866666578777,0.0333333536936,0.0333333463937,0.426080565333,0.809523809524,"2"
"68",8,1,0,0,0,869,280.6,151694.833333,0,3882.08297568,2300.9677091,11300,11300,11300,0,0.196526334738,0.033573884629,0.0337152252099,0.324305555556,0.75,"1"
"69",20,1,0,0,0,1000,345.142857143,86790,0,3261.55458915,1523.48495131,0,0,0,0,0.0202197487004,0.320577227914,0.0200350988615,0.486009059953,0.580152671756,"1"
"70",5,2,0,1,0,598,166.833333333,222966.666667,2552.2016129,3582.05483298,2947.88542666,4800,4800,4800,0,0.0344369282535,0.245487350848,0.0333366812381,0.307269119769,0.666666666667,"2"
"71",5,1,1,0,0,676,381.666666667,146766.666667,2856.5,3835.33722871,3372.44492688,0,0,0,0,0.280187361093,0.0335312299159,0.035879301304,0.573703498399,0.787878787879,"3"
"72",4,1,0,0,0,463,318.6,299200,1222.16666667,7531.86363636,3518.76494528,0,0,0,0,0.640005400207,0.0400009518201,0.239993353182,0.405396825397,0.833333333333,"1"
"73",15,3,0,0,1,520,207.4,228340,1839,3421.27856746,2470.76321055,0,0,0,0,0.0400003833987,0.839997958444,0.0400002489539,0.446700680272,0.592592592593,"1"
"74",22,1,1,0,0,902,388,107787.5,0,5152.83333333,2566.41497043,1300,15400,5928.57142857,0,0.456864417,0.0251263756357,0.0255373516438,0.487926923594,0.785714285714,"3"
"75",6,33,0,0,0,589,204.625,221112.5,1464.66666667,7856.80786026,3597.21917679,2900,27500,15200,0,0.0250001469602,0.0250001855578,0.0251088514904,0.457240689205,0.625,"2"
"76",2,0,0,0,0,3500,835.6,110170,2457.14285714,11650,4562.37804298,0,0,0,0,0.0200369846307,0.0200127593486,0.107037401624,0.4,1,"3"
"77",4,2,0,0,0,522,152.37,344628.571429,1305,3786.1558753,2551.96535605,1000,1800,1400,0,0.314717870591,0.457580566035,0.0292744041513,0.363038087643,0.653846153846,"3"
"78",11,1,0,0,1,885,212.142857143,168711.666667,0,3785.42553191,1674.39827942,1500,1500,1500,0,0.0222266442953,0.56918367785,0.0222251351158,0.482620320856,0.777777777778,"2"
"79",4,0,0,0,0,590,150.75,430225,1538.57142857,5574.06777929,3958.11301853,53100,53100,53100,0,0.0252952054382,0.141800229746,0.580220674655,0.666071428571,0.75,"2"
"80",11,0,0,1,0,1400,416,138822.222222,0,3504.44083527,2259.92684787,9000,9000,9000,1,0.0222653503289,0.0222283056224,0.132548068376,0.472138047138,0.8,"2"
"81",9,1,0,0,1,2200,381.4,234830,982.722222222,6575,2984.37982357,1900,13200,5425,0,0.0211818384324,0.726032148645,0.020045085172,0.359428146259,0.684210526316,"2"
"82",7,0,0,0,0,387,148,185562.5,0,5045.1025641,3221.10653336,29500,29500,29500,0,0.0253108640042,0.0250582161494,0.124154962686,0.354532336351,0.739130434783,"2"
"83",8,1,0,0,0,433,129.166666667,234885.714286,0,3292.55150336,2004.05423845,2800,2800,2800,0,0.603770667859,0.310421919169,0.028591160259,0.40247955748,0.631578947368,"1"
"84",4,1,0,0,0,1200,530.333333333,133716.666667,1868.4,4006.07936508,3025.97163243,1200,4400,2300,0,0.0333334969261,0.0333335841017,0.0334014112468,0.371401515152,0.5,"2"
"85",16,6,0,0,1,97,51.8,432866.666667,0,5332.56973294,3502.1214848,278,1900,1326,0,0.0333349790056,0.366371988345,0.53359662896,0.423286435786,0.5,"3"
"86",11,3,0,0,1,42,16.2,301542.857143,0,4197.11041991,2105.61743072,0,0,0,0,0.0287668380453,0.745823462853,0.167517277013,0.437915584416,0.717391304348,"2"
"87",7,0,0,0,0,869,262.666666667,228862.444444,727.5,3902.23043944,2462.93930784,3100,3100,3100,0,0.337740923776,0.0222445227962,0.0222436072279,0.440413752914,0.888888888889,"2"
"88",3,1,0,0,1,523,119.285714286,221887.5,0,3496.26834862,2557.91519384,3200,3200,3200,0,0.0260791217988,0.620522798101,0.025311751981,0.506363636364,0.666666666667,"1"
"89",3,2,0,0,1,529,142.5,266150,1484.76328502,3549.29032523,2427.90284295,879,3400,2139.5,0,0.0500016267174,0.799994727727,0.0500000169888,0.374209784924,0.58064516129,"1"
"90",8,1,0,1,0,512,197.666666667,164011.111111,2127.97155859,3398.13722752,2778.47566223,0,0,0,0,0.0222479878355,0.132514621315,0.0222223341455,0.453354978355,0.933333333333,"2"
"91",3,1,0,0,0,211,53.295,721925,3318.61149932,5648.49326364,4256.41009934,5300,5300,5300,0,0.799929013803,0.0500417628601,0.0500246201585,0.385179924242,0.818181818182,"2"
"92",37,1,0,0,1,824,254.333333333,190571.428571,0,17238.4285714,5135.07160622,970,1600,1256.66666667,0,0.0285902563004,0.573939895143,0.0285735604049,0.419135410045,0.615384615385,"2"
"93",5,0,0,0,0,414,190.5,494320,0,5861.01724138,3607.65891758,2100,3200,2650,0,0.0400061133952,0.232691233938,0.647264345292,0.524621212121,0.722222222222,"1"
"94",4,1,0,0,0,910,462.2,182860,1605,5761.52238806,2977.5884156,5100,5300,5200,0,0.839994567061,0.040000405376,0.040000108306,0.453703703704,0.789473684211,"2"
"95",34,1,0,0,1,704,146.428571429,271037.5,0,3745.73333333,2152.81993451,564,1400,848.375,0,0.0250021282331,0.89999125226,0.0250014082014,0.425961235734,0.850574712644,"1"
"96",9,1,0,0,1,2000,360.857142857,212344.444444,0,5850,2729.88055154,2900,2900,2900,0,0.0222245283935,0.358596523198,0.022239784684,0.650925925926,0.4,"1"
"97",5,2,0,0,1,95,23,449825,2179.89099847,4459.27595628,3159.60725221,1400,33100,17250,0,0.295843863535,0.552990109379,0.0503431751011,0.532666666667,0.611111111111,"2"
"98",7,1,0,0,1,710,397.166666667,136635,710,3376.7531682,2247.10994052,710,5800,1887.33333333,0,0.0333343162827,0.866662818063,0.0333337494747,0.346353496353,0.478260869565,"3"
"99",8,1,0,0,0,469,336.5,202050,1441.27272727,3262.20058731,2480.39863683,845,3100,1692.14285714,0,0.362700653132,0.0500011702633,0.0500002146514,0.505346835704,0.708333333333,"2"
"100",2,1,0,1,0,949,375,231050,0,3399.39375788,2281.52539582,1100,1100,1100,1,0.0333348151281,0.68539121768,0.0333344182129,0.369598939708,0.684210526316,"2"
"101",2,0,0,0,0,224,73.236,583520,1087.4375,5617.16806072,3693.38905017,1400,1400,1400,0,0.640479307067,0.0400005257893,0.0400006085958,0.347943722944,0.818181818182,"2"
"102",26,22,0,0,0,581,212.285714286,281885.714286,3182.359375,5579.24506194,4056.48171174,4000,11000,7500,0,0.0287203615161,0.0286635205449,0.885456325346,0.517216117216,0.7,"2"
"103",11,2,0,0,1,676,249.75,208240,0,3428.87105812,1955.78587831,1000,1000,1000,0,0.0400009182743,0.565981979515,0.0402556874964,0.462508320533,0.808510638298,"2"
"104",8,1,0,0,0,753,292.843333333,330111.111111,1201.16666667,5106.74687458,2664.41216158,749,749,749,1,0.911110220008,0.0222224527088,0.0222222912912,0.217735042735,0.666666666667,"2"
"105",6,0,0,0,0,382,330.5,219271.428571,0,8883.51578947,3265.77903084,3900,7800,5800,0,0.578327987089,0.0286416171065,0.0311147315829,0.333333333333,1,"1"
"106",2,1,0,0,0,581,239.333333333,250900,1109.42857143,3486.96452315,2537.98540942,620,4700,2660,0,0.0333351035213,0.0333900889693,0.865846263557,0.344191919192,0.4375,"1"
"107",18,2,0,0,1,1600,319.2,271216.666667,0,3395.06309842,1928.4807973,556,2500,1364,0,0.0333362130645,0.866656717023,0.0333350266333,0.319794999686,0.424242424242,"1"
"108",18,11,0,1,0,737,190.4,238360,2697.21573714,5380.0952381,3480.8601332,934,11400,5108.5,0,0.0402129494422,0.0400994981431,0.0400004352705,0.47205017205,0.65625,"2"
"109",6,1,0,0,0,663,331,384900,881.5,3400.88779071,2354.81045195,1100,2800,1950,0,0.799997312871,0.0500005823124,0.0500006108337,0.315419501134,0.647058823529,"2"
"110",8,1,0,0,0,4900,1045.28571429,214771.428571,2070.49253731,4900,2881.76297431,1400,8000,4700,0,0.530380970889,0.153842152503,0.0285723100959,0.486038961039,0.764705882353,"1"
"111",6,1,0,0,0,1500,526.5,218871.428571,0,5412.63013699,2675.62368215,0,0,0,0,0.396252622245,0.518019195892,0.0285717968636,0.419444444444,1,"1"
"112",1,10,0,0,0,528,192.333333333,245583.333333,999.416666667,3778.07475266,2675.77514877,900,900,900,0,0.0333342471855,0.0333337421209,0.26286273974,0.587921019658,0.731034482759,"3"
"113",5,1,0,0,0,463,123.2,295140,1800.92857143,3738.09279062,3102.14580538,727,27100,9842.33333333,0,0.0400018759249,0.0400008480213,0.0425297924383,0.402744107744,0.642857142857,"2"
"114",78,47,1,0,0,890,405,163165,890,3799.20221787,2603.68400158,309,53100,14102.25,1,0.0344092245113,0.487064287327,0.411846935663,0.551138707425,0.6875,"2"
"115",34,21,0,1,0,570,199.6,147590,2010.72684458,3268.61782957,2612.21517189,564,18100,9332,0,0.0200224311067,0.120743423427,0.0200001397332,0.558623364698,0.837438423645,"3"
"116",6,1,0,1,0,183,64,344400,2951.54570637,3601.15964839,3218.6883882,1000,1000,1000,0,0.0401982156948,0.0400958100235,0.040000277286,0.360201640465,0.75,"3"
"117",0,0,0,0,0,237,43.57375,520337.5,2910.06060606,8777.10132159,4994.74707678,0,0,0,0,0.0250269700391,0.0250735484141,0.899407810631,0,0,"3"
"118",1,0,0,0,0,1800,560.25,26333.3333333,0,3733.67142857,2356.33625887,0,0,0,0,0.617157143376,0.0226238430427,0.0225312103449,0.676388888889,0.5,"3"
"119",7,0,1,0,0,725,483.5,37500,2591.32702238,5065.04761905,3680.90064041,1900,3400,2650,0,0.796691205889,0.0503058885763,0.0522195700362,0.363439153439,0.529411764706,"2"
"120",8,11,0,1,0,3100,835.6,74950,0,3966.66666667,1584.27617846,1700,3500,2600,0,0.0200028997984,0.0200019670123,0.0200440102415,0.4741504329,0.794117647059,"2"
"121",6,1,0,0,1,0,-1,406425,1996.275,3412.30066336,2516.50279031,1600,22200,11900,0,0.0500002014626,0.799996123046,0.0500001492117,0.728125,0.6,"1"
"122",5,1,0,0,1,2100,463.857142857,308771.428571,1616.73626374,3306.33789774,2475.59584537,1900,2100,2000,0,0.0285721189303,0.885710975954,0.0285721341948,0.40375,0.571428571429,"1"
"123",11,8,0,0,0,1300,269.084285714,295671.428571,1750,7453.69190476,4606.59957038,4200,4200,4200,0,0.171466981498,0.0286827255864,0.742493547516,0.634649122807,0.631578947368,"1"
"124",5,1,0,0,1,0,-1,534200,2158.02219482,3481.67738153,2715.85288712,0,0,0,1,0.0666669683177,0.733325425714,0.0666669427255,0.570833333333,0.833333333333,"3"
"125",7,1,0,1,0,594,207.5,171850,1855.77777778,8462,3327.20201297,0,0,0,0,0.0250292936577,0.0250056493566,0.0250002148458,0.506766191325,0.857142857143,"2"
"126",5,8,0,1,0,613,213,160510,0,6685.61538462,3266.77748111,5200,5200,5200,0,0.0203526748516,0.0200155782439,0.0200577432426,0.470405505952,0.526315789474,"2"
"127",2,1,0,0,0,10500,1651.28571429,197887.5,0,10500,4156.58994493,1300,1400,1350,0,0.025001377391,0.0250007311476,0.0253861679965,0.520058479532,0.56,"3"
"128",4,12,0,0,0,617,281.714285714,321742.857143,3468.57407407,21143.8666667,7091.84241845,1700,1700,1700,0,0.0285719941874,0.170742446124,0.743532355607,0.575432900433,0.78125,"2"
"129",2,7,0,0,1,1200,293.714285714,243314.285714,1200,3599.8693418,2495.53735229,5200,5200,5200,0,0.0285762771563,0.6271859086,0.167849503911,0.532043650794,0.8,"3"
"130",20,18,0,1,0,589,148.3,170450,1929.19277108,3519.73541567,2974.66244027,624,6000,2172.6,0,0.0202935058462,0.0200020055754,0.0201893259421,0.482521500722,0.772727272727,"2"
"131",7,51,0,0,1,0,-1,450000,2234.85420827,3602.68788733,2920.0953787,795,10600,4298.33333333,0,0.0500002321527,0.550494583922,0.0506999884699,0.427789638677,0.573529411765,"2"
"132",3,1,0,0,1,775,131.142857143,229617.5,0,3567.53611888,1531.87092527,1200,1200,1200,0,0.0200006896028,0.819800515267,0.0200003957962,0.467013888889,0.473684210526,"1"
"133",6,1,0,0,0,277,180.571428571,347200,0,6265.18,3054.99138094,1700,4800,3400,0,0.910942919132,0.0222595015619,0.0223506693159,0.441025641026,0.8125,"3"
"134",8,13,0,1,0,1200,476.875,207037.5,1450,13457.8846154,4651.21047429,2700,2700,2700,0,0.0254812708417,0.0250008674665,0.0251157980422,0.495026017753,0.625,"2"
"135",13,5,0,1,0,873,256.7,214410,2527.56097561,7280.75,4334.63389247,1200,28400,15600,0,0.0205154567425,0.0200449634779,0.486292192411,0.469220272904,0.690476190476,"2"
"136",6,1,1,0,0,211,125,401800,0,4456.04163394,2985.55159757,2300,5300,3900,0,0.799716162585,0.050138900365,0.0501367943237,0.45834268612,0.777777777778,"2"
"137",11,1,0,0,1,42,20.5,316875,2268.06440866,3608.69347252,2712.4407742,0,0,0,0,0.0500000331459,0.799998507979,0.0500000124985,0.507153351699,0.659090909091,"1"
"138",0,0,0,0,0,720,311.333333333,240216.666667,3356.7966759,5916,4407.86596544,0,0,0,0,0.0333334891424,0.0333334133612,0.221919445519,0,0,"1"
"139",28,24,0,0,0,468,155.428571429,332585.714286,3233.49593496,10627.2777778,5398.6214453,9500,10100,9800,0,0.0287539542545,0.0285724714195,0.741299490327,0.417575757576,0.666666666667,"1"
"140",5,1,0,1,0,640,251.75,144150,1923.68351064,3582.05483298,2685.10327961,1100,3500,2300,0,0.0250623921405,0.150464037367,0.0250001760831,0.481818181818,0.857142857143,"2"
"141",0,0,0,0,0,264,40.07375,497962.5,2541.05294118,7628.58456973,5212.54394205,0,0,0,0,0.0250030944567,0.0250000309143,0.899988748088,0,0,"2"
"142",7,1,0,1,0,1100,381.166666667,273150,0,3401.52536911,1833.92008249,1400,1800,1525,0,0.153821910956,0.025153682702,0.0251321331275,0.408656259565,0.5,"3"
"143",18,1,0,0,1,571,107.25,196811.111111,0,3282.84702377,2278.95805393,0,0,0,1,0.0222227205471,0.9111003862,0.0222225058058,0.52446031746,0.642857142857,"3"
"144",5,0,0,0,0,615,191.797777778,413655.555556,3196.53066181,7592.0974952,5279.2976758,877,11100,5955.4,1,0.0222318700389,0.0222225524185,0.910718851629,0.6125,0.5,"3"
"145",55,1,1,0,0,902,395.4,187437.5,0,11328.45,3301.00027039,0,0,0,0,0.325336045018,0.445056865909,0.179060371739,0.481659635092,0.69465648855,"3"
"146",13,1,0,0,0,802,210.2,251800,0,7727.70588235,2830.52142897,70500,70500,70500,0,0.657187908432,0.267653826022,0.0250297575457,0.489150998255,0.857142857143,"3"
"147",4,10,0,0,0,851,215.227142857,407542.857143,1818.875,6133.10743802,4786.41174553,6300,38600,22450,0,0.0285717742425,0.0285714912207,0.689649005019,0.4875,0.8,"2"
"148",4,1,0,1,0,2800,766.777777778,33370,0,7540.09090909,2899.49816386,1200,1200,1200,0,0.0200270596045,0.0200030352486,0.0214706143995,0.310459183673,1,"1"
